Fes_sc0001617.1.g000017.aua.1	Fes_sc0001617.1.g000017.aua.1	100.000	213	0	0	1	213	1	213	1.13e-160	433
Fes_sc0001617.1.g000017.aua.1	Fes_sc0005868.1.g000004.aua.1	61.658	193	74	0	1	193	1	193	5.77e-87	256
Fes_sc0001617.1.g000017.aua.1	Fes_sc0003471.1.g000005.aua.1	59.067	193	79	0	1	193	16	208	3.25e-84	239
Fes_sc0003471.1.g000005.aua.1	Fes_sc0003471.1.g000005.aua.1	100.000	208	0	0	1	208	1	208	3.92e-158	426
Fes_sc0003471.1.g000005.aua.1	Fes_sc0005868.1.g000004.aua.1	59.585	193	78	0	16	208	1	193	3.94e-86	253
Fes_sc0005868.1.g000004.aua.1	Fes_sc0005868.1.g000004.aua.1	100.000	496	0	0	1	496	1	496	0.0	999
Fes_sc0011510.1.g000001.aua.1	Fes_sc0011510.1.g000001.aua.1	100.000	469	0	0	1	469	1	469	0.0	965
Fes_sc0011510.1.g000001.aua.1	Fes_sc0008411.1.g000001.aua.1	56.651	436	175	5	9	441	4	428	1.72e-179	501
Fes_sc0011510.1.g000001.aua.1	Fes_sc0000542.1.g000013.aua.1	56.109	442	166	5	3	442	2	417	3.67e-178	497
Fes_sc0011510.1.g000001.aua.1	Fes_sc0007348.1.g000004.aua.1	54.670	439	184	7	8	441	18	446	1.65e-170	478
Fes_sc0011510.1.g000001.aua.1	Fes_sc0008411.1.g000003.aua.1	54.920	437	184	5	10	442	5	432	6.27e-167	468
Fes_sc0011510.1.g000001.aua.1	Fes_sc0000499.1.g000001.aua.1	51.852	432	192	4	13	441	9	427	5.07e-160	451
Fes_sc0011510.1.g000001.aua.1	Fes_sc0000231.1.g000023.aua.1	51.802	444	194	7	4	442	16	444	3.46e-156	442
Fes_sc0011510.1.g000001.aua.1	Fes_sc0010474.1.g000002.auf.1	45.755	424	204	6	14	432	5	407	8.67e-133	381
Fes_sc0000542.1.g000013.aua.1	Fes_sc0000542.1.g000013.aua.1	100.000	432	0	0	1	432	1	432	0.0	902
Fes_sc0000542.1.g000013.aua.1	Fes_sc0008411.1.g000001.aua.1	65.682	440	133	3	6	428	2	440	0.0	613
Fes_sc0000542.1.g000013.aua.1	Fes_sc0000231.1.g000023.aua.1	56.813	433	169	5	11	427	24	454	1.18e-172	482
Fes_sc0000542.1.g000013.aua.1	Fes_sc0007348.1.g000004.aua.1	55.093	432	168	7	15	424	26	453	1.81e-170	477
Fes_sc0000542.1.g000013.aua.1	Fes_sc0000499.1.g000001.aua.1	53.241	432	182	7	4	418	1	429	2.81e-165	462
Fes_sc0000542.1.g000013.aua.1	Fes_sc0008411.1.g000003.aua.1	49.884	431	193	5	9	418	5	433	2.91e-156	440
Fes_sc0000542.1.g000013.aua.1	Fes_sc0010474.1.g000002.auf.1	45.050	404	212	5	13	407	5	407	8.62e-130	372
Fes_sc0000231.1.g000023.aua.1	Fes_sc0000231.1.g000023.aua.1	100.000	455	0	0	1	455	1	455	0.0	937
Fes_sc0000231.1.g000023.aua.1	Fes_sc0008411.1.g000001.aua.1	54.587	436	188	5	21	450	4	435	2.29e-169	474
Fes_sc0000231.1.g000023.aua.1	Fes_sc0007348.1.g000004.aua.1	51.157	432	198	7	23	445	21	448	1.45e-155	440
Fes_sc0000231.1.g000023.aua.1	Fes_sc0000499.1.g000001.aua.1	48.380	432	211	7	20	445	4	429	1.34e-146	416
Fes_sc0000231.1.g000023.aua.1	Fes_sc0008411.1.g000003.aua.1	46.789	436	207	7	25	445	8	433	6.56e-138	394
Fes_sc0000231.1.g000023.aua.1	Fes_sc0010474.1.g000002.auf.1	43.932	412	219	5	26	434	5	407	3.31e-127	366
Fes_sc0008411.1.g000001.aua.1	Fes_sc0008411.1.g000001.aua.1	100.000	451	0	0	1	451	1	451	0.0	939
Fes_sc0008411.1.g000001.aua.1	Fes_sc0007348.1.g000004.aua.1	52.656	433	196	8	9	435	24	453	7.15e-161	453
Fes_sc0008411.1.g000001.aua.1	Fes_sc0000499.1.g000001.aua.1	52.000	425	198	5	8	430	9	429	5.37e-159	447
Fes_sc0008411.1.g000001.aua.1	Fes_sc0008411.1.g000003.aua.1	49.312	436	212	4	1	430	1	433	7.16e-155	437
Fes_sc0008411.1.g000001.aua.1	Fes_sc0010474.1.g000002.auf.1	43.318	434	227	5	9	439	5	422	2.83e-129	372
Fes_sc0008411.1.g000003.aua.1	Fes_sc0008411.1.g000003.aua.1	100.000	438	0	0	1	438	1	438	0.0	906
Fes_sc0008411.1.g000003.aua.1	Fes_sc0007348.1.g000004.aua.1	48.624	436	212	6	5	434	20	449	4.21e-144	410
Fes_sc0008411.1.g000003.aua.1	Fes_sc0000499.1.g000001.aua.1	48.730	433	205	8	8	434	9	430	4.93e-140	399
Fes_sc0008411.1.g000003.aua.1	Fes_sc0010474.1.g000002.auf.1	43.529	425	218	8	9	428	5	412	3.53e-116	337
Fes_sc0007348.1.g000004.aua.1	Fes_sc0007348.1.g000004.aua.1	100.000	463	0	0	1	463	1	463	0.0	956
Fes_sc0007348.1.g000004.aua.1	Fes_sc0000499.1.g000001.aua.1	68.360	433	130	4	18	449	4	430	0.0	612
Fes_sc0007348.1.g000004.aua.1	Fes_sc0010474.1.g000002.auf.1	51.651	424	187	4	23	443	4	412	1.97e-157	444
Fes_sc0010474.1.g000002.auf.1	Fes_sc0010474.1.g000002.auf.1	100.000	432	0	0	1	432	1	432	0.0	895
Fes_sc0010474.1.g000002.auf.1	Fes_sc0000499.1.g000001.aua.1	50.119	419	194	3	5	410	10	426	1.58e-154	436
Fes_sc0000499.1.g000001.aua.1	Fes_sc0000499.1.g000001.aua.1	100.000	440	0	0	1	440	1	440	0.0	913
